Time,X,Y,P
89664,0.035,0.235,0.028
89685,0.034,0.246,0.251
89685,0.034,0.246,0.251
89703,0.033,0.253,0.394
89705,0.033,0.254,0.413
89720,0.033,0.255,0.444
89732,0.033,0.256,0.487
89750,0.033,0.252,0.575
89767,0.034,0.244,0.64
89784,0.034,0.226,0.69
89802,0.035,0.202,0.718
89818,0.036,0.184,0.726
89833,0.037,0.167,0.737
89849,0.038,0.155,0.757
89868,0.038,0.152,0.78
89883,0.038,0.156,0.784
89900,0.039,0.165,0.788
89916,0.04,0.178,0.788
89934,0.042,0.188,0.788
89951,0.043,0.193,0.784
89970,0.045,0.193,0.778
89982,0.047,0.191,0.78
89998,0.049,0.181,0.788
90018,0.052,0.168,0.819
90034,0.054,0.154,0.864
90054,0.057,0.146,0.892
90066,0.059,0.144,0.901
90082,0.062,0.145,0.794
90100,0.066,0.152,0.335
90115,0.068,0.159,0.021
90116,NaN,NaN,NaN
