Time,X,Y,P
12128,0.218,0.348,0.019
12146,0.218,0.351,0.157
12146,0.218,0.351,0.157
12163,0.218,0.352,0.249
12180,0.218,0.351,0.362
12197,0.217,0.348,0.534
12213,0.216,0.344,0.726
12229,0.215,0.331,0.958
12247,0.214,0.315,1
12263,0.214,0.305,1
12280,0.215,0.294,1
12297,0.216,0.289,1
12314,0.219,0.287,1
12330,0.222,0.287,0.86
12346,0.223,0.291,0.396
12363,0.223,0.296,0.017
12364,NaN,NaN,NaN
12450,0.217,0.387,0.028
12464,0.217,0.393,0.466
12464,0.217,0.393,0.466
12480,0.215,0.396,0.819
12496,0.214,0.398,0.931
12514,0.215,0.4,0.97
12531,0.216,0.402,0.903
12546,0.219,0.406,0.536
12563,0.222,0.408,0.095
12567,0.223,0.408,0.04
12568,NaN,NaN,NaN
