Time,X,Y,P
5586,0.204,0.893,0.017
5599,0.204,0.895,0.171
5599,0.204,0.895,0.171
5615,0.203,0.898,0.298
5633,0.203,0.899,0.339
5651,0.203,0.895,0.474
5667,0.203,0.886,0.618
5683,0.203,0.869,0.735
5683,0.202,0.866,0.753
5699,0.201,0.841,0.847
5717,0.199,0.811,0.933
5735,0.197,0.786,1
5748,0.196,0.775,1
5765,0.196,0.767,1
5785,0.197,0.768,1
5798,0.199,0.776,1
5815,0.204,0.792,1
5832,0.208,0.805,1
5849,0.213,0.813,1
5865,0.218,0.811,1
5881,0.221,0.802,1
5898,0.222,0.793,1
5914,0.221,0.782,1
5931,0.216,0.773,1
5949,0.208,0.769,1
5966,0.203,0.769,0.987
5982,0.201,0.776,0.302
5995,0.201,0.785,0.011
5996,NaN,NaN,NaN
