Time,X,Y,P
26767,0.673,0.284,0.007
26768,0.673,0.285,0.048
26768,0.673,0.285,0.048
26791,0.673,0.286,0.151
26808,0.673,0.286,0.276
26824,0.672,0.285,0.513
26840,0.671,0.281,0.679
26857,0.668,0.275,0.782
26875,0.665,0.265,0.907
26890,0.661,0.253,1
26908,0.655,0.238,1
26925,0.648,0.221,1
26941,0.643,0.208,1
26957,0.638,0.196,1
26974,0.635,0.188,0.979
26992,0.634,0.185,0.622
27007,0.635,0.187,0.052
27012,0.636,0.188,0.001
27013,NaN,NaN,NaN
27339,0.645,0.281,0.028
27358,0.645,0.282,0.146
27358,0.645,0.282,0.146
27375,0.645,0.285,0.327
27390,0.645,0.286,0.427
27408,0.646,0.285,0.585
27424,0.647,0.28,0.774
27441,0.647,0.273,0.821
27458,0.649,0.262,0.853
27475,0.65,0.253,0.862
27491,0.651,0.246,0.849
27508,0.652,0.24,0.755
27524,0.653,0.239,0.616
27540,0.653,0.24,0.093
27542,NaN,NaN,NaN
