Time,X,Y,P
4217,0.356,0.801,0.122
4224,0.356,0.801,0.251
4224,0.356,0.801,0.251
4242,0.358,0.802,0.733
4256,0.36,0.801,0.823
4273,0.362,0.798,0.864
4290,0.362,0.792,0.86
4308,0.362,0.792,0.745
4326,0.361,0.8,0.614
4342,0.36,0.812,0.626
4357,0.359,0.821,0.722
4374,0.357,0.827,0.929
4395,0.352,0.82,1
4406,0.348,0.813,1
4426,0.342,0.789,1
4440,0.339,0.768,1
4459,0.34,0.738,1
4475,0.345,0.708,1
4492,0.352,0.689,1
4506,0.359,0.684,1
4523,0.366,0.692,1
4540,0.373,0.709,1
4558,0.377,0.722,0.423
4574,0.38,0.724,0.015
4575,NaN,NaN,NaN
