Time,X,Y,P
14027,0.485,0.409,0.028
14034,0.485,0.412,0.187
14034,0.485,0.412,0.187
14049,0.485,0.414,0.358
14066,0.485,0.414,0.456
14083,0.485,0.409,0.478
14100,0.484,0.398,0.483
14116,0.483,0.381,0.501
14117,0.483,0.378,0.511
14132,0.483,0.356,0.573
14150,0.482,0.329,0.694
14170,0.482,0.301,0.845
14183,0.482,0.279,0.937
14198,0.482,0.262,0.983
14218,0.482,0.251,1
14236,0.482,0.247,1
14249,0.483,0.251,1
14267,0.483,0.264,1
14283,0.486,0.285,1
14301,0.488,0.306,1
14316,0.494,0.331,1
14333,0.5,0.349,1
14349,0.506,0.364,1
14368,0.514,0.374,1
14385,0.517,0.373,1
14401,0.517,0.362,1
14417,0.513,0.344,1
14434,0.506,0.326,1
14450,0.499,0.308,1
14465,0.492,0.294,1
14483,0.485,0.289,1
14500,0.482,0.291,1
14515,0.481,0.296,1
14534,0.481,0.305,1
14551,0.485,0.312,1
14567,0.491,0.314,1
14583,0.496,0.313,1
14599,0.501,0.307,1
14616,0.508,0.298,1
14637,0.514,0.287,1
14649,0.518,0.28,1
14666,0.524,0.271,1
14682,0.53,0.265,0.702
14698,0.535,0.264,0.116
14707,0.536,0.266,0.005
14708,NaN,NaN,NaN
