Time,X,Y,P
22571,0.763,0.333,0.052
22583,0.763,0.332,0.28
22583,0.763,0.332,0.28
22601,0.761,0.332,0.511
22621,0.76,0.331,0.636
22644,0.761,0.331,0.755
22664,0.764,0.332,0.843
22685,0.77,0.334,0.868
22710,0.779,0.338,0.874
22712,0.782,0.339,0.872
22726,0.786,0.34,0.864
22752,0.789,0.338,0.851
22768,0.787,0.334,0.845
22790,0.782,0.326,0.86
22810,0.775,0.314,0.905
22832,0.768,0.302,0.972
22853,0.766,0.295,1
22872,0.771,0.295,1
22897,0.782,0.304,1
22916,0.793,0.311,1
22936,0.802,0.313,0.356
22951,0.806,0.314,0.038
22952,NaN,NaN,NaN
