Time,X,Y,P
4604,0.346,0.796,0.028
4605,0.346,0.798,0.175
4605,0.346,0.798,0.175
4637,0.345,0.792,0.794
4657,0.345,0.779,0.864
4679,0.346,0.751,0.901
4700,0.347,0.726,0.933
4724,0.349,0.693,1
4742,0.35,0.681,1
4763,0.35,0.671,0.8
4786,0.348,0.669,0.001
4787,NaN,NaN,NaN
4952,0.336,0.792,0.007
4973,0.336,0.801,0.694
4973,0.336,0.801,0.694
4991,0.335,0.809,0.89
4992,0.335,0.811,0.903
5013,0.336,0.821,0.95
5034,0.342,0.828,0.958
5054,0.351,0.833,0.954
5074,0.358,0.832,0.938
5097,0.365,0.819,0.921
5118,0.367,0.802,0.931
5138,0.364,0.787,1
5158,0.359,0.776,1
5179,0.351,0.765,1
5200,0.344,0.76,1
5220,0.337,0.755,0.726
5243,0.335,0.753,0.099
5252,NaN,NaN,NaN
