Time,X,Y,P
15222,0.792,0.948,0.001
15223,0.793,0.954,0.351
15223,0.793,0.954,0.351
15225,0.793,0.955,0.419
15241,0.793,0.959,0.589
15258,0.792,0.962,0.712
15278,0.789,0.965,0.792
15291,0.786,0.965,0.831
15308,0.783,0.961,0.88
15324,0.779,0.953,0.942
15342,0.776,0.939,0.985
15362,0.776,0.921,1
15374,0.777,0.909,1
15390,0.779,0.893,1
15408,0.781,0.874,1
15424,0.781,0.858,1
15442,0.777,0.842,1
15459,0.772,0.829,1
15475,0.766,0.821,1
15492,0.76,0.815,1
15508,0.754,0.811,1
15526,0.749,0.811,1
15540,0.747,0.811,1
15558,0.746,0.815,0.44
15573,0.746,0.821,0.017
15575,NaN,NaN,NaN
15709,0.742,0.855,0.067
15727,0.742,0.854,0.474
15727,0.742,0.854,0.474
15740,0.744,0.854,0.661
15758,0.749,0.854,0.872
15778,0.759,0.854,1
15790,0.767,0.855,1
15808,0.779,0.859,1
15824,0.789,0.861,1
15842,0.795,0.865,1
15862,0.796,0.866,0.987
15874,0.794,0.866,0.231
15882,0.791,0.866,0.024
15884,NaN,NaN,NaN
