Time,X,Y,P
16254,0.631,0.358,0.034
16265,0.631,0.36,0.175
16265,0.631,0.36,0.175
16282,0.63,0.361,0.276
16298,0.629,0.36,0.415
16316,0.63,0.353,0.575
16331,0.631,0.346,0.653
16349,0.633,0.336,0.751
16349,0.633,0.335,0.761
16366,0.636,0.332,0.794
16382,0.64,0.335,0.802
16398,0.644,0.342,0.804
16416,0.649,0.351,0.808
16432,0.652,0.354,0.866
16447,0.653,0.347,1
16465,0.652,0.335,1
16481,0.649,0.316,1
16499,0.646,0.3,1
16514,0.642,0.285,1
16531,0.636,0.274,1
16548,0.632,0.271,1
16565,0.629,0.271,1
16582,0.627,0.274,1
16597,0.625,0.279,0.72
16614,0.624,0.282,0.28
16629,0.623,0.284,0.007
16630,NaN,NaN,NaN
