Time,X,Y,P
6946,0.211,0.84,0.03
6961,0.21,0.84,0.224
6961,0.21,0.84,0.224
6970,0.208,0.841,0.353
6987,0.206,0.842,0.491
7003,0.203,0.842,0.671
7020,0.2,0.84,0.808
7036,0.197,0.835,0.894
7053,0.195,0.827,0.958
7071,0.196,0.819,1
7086,0.198,0.814,1
7103,0.204,0.812,1
7120,0.209,0.813,1
7136,0.213,0.816,1
7153,0.215,0.821,1
7171,0.214,0.826,1
7188,0.211,0.833,1
7204,0.206,0.839,1
7220,0.203,0.842,1
7237,0.201,0.846,1
7253,0.201,0.848,0.575
7269,0.202,0.851,0.073
7273,0.203,0.851,0.024
7274,NaN,NaN,NaN
