Time,X,Y,P
9557,0.209,0.868,0.021
9571,0.209,0.869,0.157
9571,0.209,0.869,0.157
9592,0.209,0.873,0.245
9612,0.209,0.874,0.259
9636,0.208,0.869,0.306
9657,0.206,0.855,0.321
9678,0.202,0.834,0.335
9698,0.199,0.813,0.339
9718,0.196,0.794,0.351
9737,0.194,0.784,0.386
9759,0.193,0.779,0.413
9779,0.195,0.784,0.413
9800,0.202,0.796,0.38
9821,0.209,0.811,0.388
9846,0.216,0.82,0.421
9863,0.218,0.816,0.47
9882,0.219,0.806,0.515
9907,0.217,0.789,0.536
9927,0.214,0.778,0.544
9949,0.208,0.773,0.53
9968,0.2,0.774,0.515
9988,0.193,0.778,0.497
10010,0.192,0.78,0.087
10014,0.193,0.78,0.034
10016,NaN,NaN,NaN
