Time,X,Y,P
3820,0.347,0.805,0.026
3835,0.346,0.808,0.239
3835,0.346,0.808,0.239
3843,0.345,0.809,0.368
3859,0.345,0.811,0.587
3877,0.345,0.809,0.774
3893,0.346,0.806,0.931
3910,0.347,0.798,1
3927,0.348,0.789,1
3942,0.349,0.785,1
3960,0.349,0.782,1
3977,0.349,0.784,0.522
3994,0.348,0.788,0.024
4001,NaN,NaN,NaN
4044,0.343,0.806,0.058
4046,0.342,0.808,0.173
4046,0.342,0.808,0.173
4050,0.342,0.809,0.226
4073,0.341,0.819,0.474
4095,0.342,0.827,0.64
4137,0.353,0.839,0.866
4173,0.362,0.834,0.931
4194,0.363,0.827,1
4211,0.362,0.821,1
4229,0.358,0.816,1
4244,0.355,0.814,1
4261,0.353,0.815,1
4278,0.351,0.816,1
4294,0.351,0.82,0.464
4307,0.351,0.824,0.034
4309,NaN,NaN,NaN
