Time,X,Y,P
2824,0.233,0.753,0.026
2845,0.233,0.755,0.319
2845,0.233,0.755,0.319
2857,0.232,0.756,0.413
2873,0.231,0.759,0.511
2891,0.229,0.761,0.659
2907,0.228,0.762,0.733
2926,0.224,0.762,0.808
2941,0.222,0.761,0.843
2957,0.217,0.756,0.888
2977,0.213,0.748,0.929
2989,0.211,0.74,0.976
3007,0.209,0.728,1
3024,0.211,0.714,1
3041,0.214,0.702,1
3061,0.22,0.696,1
3074,0.226,0.695,1
3090,0.233,0.699,1
3107,0.238,0.706,1
3124,0.242,0.715,1
3141,0.241,0.726,1
3157,0.237,0.734,0.94
3173,0.234,0.738,0.708
3190,0.23,0.741,0.138
3198,0.229,0.742,0.013
3199,NaN,NaN,NaN
