Time,X,Y,P
39448,0.454,0.291,0.021
39462,0.453,0.291,0.146
39462,0.453,0.291,0.146
39476,0.452,0.289,0.274
39493,0.452,0.289,0.327
39510,0.45,0.288,0.431
39526,0.449,0.289,0.509
39542,0.449,0.291,0.556
39561,0.45,0.295,0.614
39576,0.452,0.299,0.685
39592,0.455,0.301,0.765
39614,0.462,0.298,0.907
39616,0.463,0.296,0.935
39628,0.466,0.291,1
39642,0.47,0.281,1
39661,0.476,0.258,1
39676,0.479,0.234,1
39692,0.483,0.208,1
39712,0.488,0.174,1
39726,0.492,0.158,1
39743,0.497,0.139,1
39760,0.504,0.127,1
39776,0.509,0.122,1
39792,0.515,0.121,1
39810,0.521,0.126,0.499
39825,0.524,0.132,0.042
39826,NaN,NaN,NaN
40057,0.5,0.273,0.021
40063,0.499,0.275,0.388
40063,0.499,0.275,0.388
40078,0.498,0.279,0.685
40095,0.497,0.279,1
40112,0.493,0.274,1
40127,0.487,0.264,1
40143,0.482,0.253,1
40160,0.474,0.234,1
40176,0.466,0.215,1
40194,0.461,0.201,1
40210,0.457,0.194,1
40228,0.452,0.188,1
40243,0.451,0.187,1
40260,0.449,0.187,0.886
40278,0.45,0.191,0.19
40289,0.451,0.192,0.054
40290,NaN,NaN,NaN
