Time,X,Y,P
4508,0.498,0.781,0.007
4514,0.499,0.782,0.038
4514,0.499,0.782,0.038
4531,0.501,0.785,0.122
4546,0.5,0.788,0.142
4564,0.498,0.793,0.173
4581,0.495,0.796,0.222
4599,0.49,0.799,0.276
4613,0.486,0.799,0.298
4633,0.479,0.795,0.319
4651,0.475,0.788,0.325
4665,0.473,0.782,0.329
4679,0.472,0.775,0.333
4696,0.472,0.769,0.341
4713,0.475,0.765,0.347
4730,0.479,0.765,0.351
4747,0.484,0.769,0.36
4767,0.491,0.78,0.36
4779,0.494,0.791,0.36
4801,0.501,0.815,0.362
4813,0.503,0.827,0.364
4831,0.506,0.84,0.376
4847,0.507,0.846,0.386
4864,0.507,0.847,0.388
4881,0.506,0.844,0.39
4898,0.502,0.835,0.392
4917,0.497,0.821,0.392
4929,0.495,0.812,0.394
4949,0.491,0.794,0.431
4966,0.49,0.784,0.493
4982,0.491,0.773,0.565
5000,0.495,0.764,0.604
5016,0.499,0.758,0.618
5030,0.505,0.756,0.622
5047,0.512,0.76,0.491
5065,0.517,0.768,0.054
5070,0.518,0.771,0.007
5071,NaN,NaN,NaN
