Time,X,Y,P
13412,0.61,0.848,0.085
13416,0.611,0.849,0.19
13416,0.611,0.849,0.19
13432,0.611,0.853,0.526
13449,0.611,0.855,0.749
13468,0.611,0.854,0.987
13481,0.611,0.848,1
13498,0.611,0.831,1
13516,0.609,0.811,1
13517,0.609,0.807,1
13531,0.609,0.787,1
13548,0.609,0.773,1
13565,0.609,0.765,1
13580,0.609,0.765,1
13598,0.609,0.773,1
13616,0.609,0.787,1
13631,0.61,0.812,1
13647,0.613,0.833,1
13665,0.618,0.854,1
13681,0.624,0.864,1
13697,0.633,0.869,1
13715,0.642,0.869,1
13732,0.646,0.868,0.544
13748,0.648,0.866,0.052
13750,0.649,0.865,0.001
13751,NaN,NaN,NaN
