Time,X,Y,P
5075,0.798,0.766,0.026
5075,0.798,0.767,0.126
5075,0.798,0.767,0.126
5083,0.797,0.769,0.284
5103,0.794,0.775,0.493
5121,0.788,0.778,0.565
5123,0.786,0.776,0.585
5134,0.783,0.774,0.62
5151,0.778,0.766,0.665
5166,0.778,0.76,0.714
5185,0.781,0.754,0.829
5201,0.786,0.747,0.901
5217,0.791,0.742,0.937
5233,0.797,0.734,0.974
5253,0.802,0.726,0.995
5271,0.804,0.719,1
5283,0.803,0.713,1
5303,0.798,0.702,0.981
5318,0.793,0.695,0.827
5333,0.787,0.691,0.534
5351,0.782,0.692,0.073
5356,NaN,NaN,NaN
