Time,X,Y,P
1706,0.045,0.852,0.04
1715,0.045,0.852,0.153
1715,0.045,0.852,0.153
1732,0.045,0.852,0.499
1748,0.045,0.846,0.843
1766,0.044,0.831,1
1782,0.043,0.812,1
1797,0.041,0.791,1
1815,0.039,0.769,1
1832,0.038,0.756,1
1848,0.038,0.754,1
1864,0.04,0.759,1
1881,0.044,0.774,1
1898,0.051,0.801,1
1914,0.057,0.826,1
1931,0.065,0.849,1
1948,0.069,0.859,1
1964,0.072,0.855,1
1981,0.072,0.835,1
1998,0.071,0.801,1
2015,0.071,0.767,1
2032,0.073,0.746,1
2048,0.076,0.733,1
2065,0.085,0.727,1
2081,0.094,0.732,0.333
2097,0.102,0.739,0.03
2098,NaN,NaN,NaN
