Time,X,Y,P
15094,0.478,0.369,0.077
15110,0.48,0.372,0.438
15110,0.48,0.372,0.438
15125,0.482,0.372,0.753
15142,0.483,0.365,1
15160,0.483,0.351,1
15175,0.483,0.339,1
15191,0.482,0.316,1
15207,0.481,0.299,1
15227,0.481,0.279,1
15240,0.481,0.274,1
15257,0.484,0.278,0.915
15276,0.489,0.292,0.37
15292,0.495,0.309,0.001
15293,NaN,NaN,NaN
15314,0.499,0.325,0.034
15314,0.501,0.331,0.179
15314,0.501,0.331,0.179
15327,0.502,0.339,0.509
15344,0.501,0.339,0.817
15360,0.497,0.332,1
15376,0.491,0.321,1
15392,0.485,0.307,1
15410,0.483,0.295,1
15425,0.483,0.289,1
15442,0.486,0.285,1
15458,0.492,0.284,1
15474,0.499,0.286,1
15490,0.508,0.288,1
15512,0.515,0.291,1
15526,0.52,0.292,1
15543,0.524,0.293,0.729
15559,0.527,0.293,0.177
15570,0.528,0.294,0.001
15571,NaN,NaN,NaN
