Time,X,Y,P
30562,0.773,0.198,0.05
30594,0.772,0.191,0.567
30594,0.772,0.191,0.567
30612,0.77,0.18,0.804
30627,0.768,0.168,0.907
30645,0.766,0.155,0.954
30661,0.765,0.151,0.97
30677,0.767,0.152,0.976
30694,0.77,0.159,0.976
30711,0.774,0.172,0.976
30729,0.78,0.191,0.978
30744,0.785,0.206,0.979
30761,0.788,0.209,0.989
30778,0.789,0.204,1
30796,0.788,0.191,1
30812,0.788,0.178,1
30828,0.788,0.168,1
30844,0.79,0.166,1
30861,0.794,0.169,1
30879,0.799,0.181,1
30896,0.805,0.193,1
30911,0.809,0.196,1
30927,0.811,0.191,1
30945,0.811,0.179,1
30961,0.809,0.161,0.657
30977,0.809,0.148,0.095
30981,0.809,0.146,0.038
30982,NaN,NaN,NaN
