Time,X,Y,P
15758,0.356,0.338,0.034
15759,0.357,0.338,0.081
15760,0.357,0.338,0.081
15775,0.357,0.34,0.198
15798,0.357,0.344,0.351
15819,0.357,0.341,0.38
15841,0.357,0.331,0.388
15863,0.356,0.311,0.388
15864,0.355,0.307,0.388
15879,0.353,0.288,0.39
15901,0.347,0.26,0.413
15923,0.341,0.244,0.503
15941,0.332,0.233,0.567
15963,0.324,0.234,0.542
15984,0.322,0.242,0.155
15990,0.322,0.248,0.034
15991,NaN,NaN,NaN
16180,0.356,0.399,0.026
16191,0.357,0.4,0.228
16191,0.357,0.4,0.228
16213,0.358,0.407,0.499
16234,0.358,0.407,0.505
16252,0.357,0.401,0.028
16253,NaN,NaN,NaN
