Time,X,Y,P
24369,0.363,0.822,0.06
24372,0.363,0.822,0.122
24372,0.363,0.822,0.122
24390,0.362,0.827,0.325
24407,0.361,0.833,0.411
24422,0.361,0.838,0.446
24438,0.359,0.845,0.546
24456,0.358,0.852,0.64
24471,0.356,0.856,0.714
24488,0.352,0.858,0.788
24505,0.347,0.853,0.866
24523,0.34,0.836,0.925
24538,0.336,0.818,0.942
24556,0.334,0.794,0.952
24573,0.338,0.776,0.954
24588,0.343,0.769,0.95
24606,0.353,0.766,0.825
24623,0.361,0.769,0.489
24638,0.365,0.774,0.073
24643,0.366,0.775,0.022
24644,NaN,NaN,NaN
