Time,X,Y,P
4415,0.481,0.799,0.044
4427,0.483,0.802,0.243
4427,0.483,0.802,0.243
4443,0.485,0.807,0.384
4461,0.486,0.813,0.452
4476,0.486,0.82,0.515
4494,0.486,0.828,0.597
4510,0.486,0.834,0.651
4526,0.486,0.836,0.675
4543,0.484,0.834,0.7
4561,0.479,0.822,0.741
4576,0.474,0.808,0.771
4593,0.468,0.789,0.784
4611,0.466,0.78,0.851
4628,0.47,0.78,0.89
4643,0.477,0.786,0.903
4661,0.488,0.798,0.911
4678,0.495,0.806,0.917
4693,0.496,0.806,0.919
4711,0.493,0.8,0.919
4728,0.485,0.786,0.923
4743,0.478,0.769,0.927
4760,0.472,0.744,0.94
4777,0.467,0.722,0.968
4794,0.468,0.713,1
4809,0.472,0.714,1
4827,0.477,0.725,1
4844,0.48,0.738,1
4859,0.481,0.747,0.95
4877,0.477,0.753,0.55
4893,0.472,0.749,0.009
4898,NaN,NaN,NaN
