Time,X,Y,P
8334,0.053,0.344,0.028
8355,0.053,0.346,0.229
8355,0.053,0.346,0.229
8371,0.053,0.347,0.288
8397,0.052,0.345,0.456
8414,0.052,0.338,0.522
8435,0.051,0.326,0.573
8438,0.051,0.324,0.579
8459,0.049,0.309,0.614
8478,0.049,0.299,0.646
8499,0.051,0.289,0.69
8520,0.055,0.286,0.726
8540,0.058,0.286,0.735
8560,0.063,0.292,0.741
8584,0.07,0.305,0.741
8603,0.075,0.318,0.739
8622,0.081,0.339,0.731
8642,0.083,0.352,0.741
8665,0.083,0.356,0.765
8684,0.082,0.351,0.771
8705,0.08,0.335,0.772
8725,0.079,0.324,0.771
8749,0.08,0.312,0.442
8765,0.083,0.309,0.022
8766,NaN,NaN,NaN
