Time,X,Y,P
10256,0.402,0.285,0.011
10263,0.401,0.286,0.079
10263,0.401,0.286,0.079
10280,0.398,0.287,0.218
10296,0.397,0.286,0.29
10314,0.397,0.278,0.386
10330,0.4,0.265,0.489
10332,0.401,0.261,0.515
10347,0.404,0.245,0.657
10364,0.408,0.228,0.831
10379,0.411,0.212,1
10397,0.41,0.201,1
10413,0.407,0.194,1
10431,0.403,0.192,1
10447,0.395,0.192,1
10464,0.387,0.195,1
10481,0.381,0.202,0.646
10497,0.377,0.211,0.149
10505,0.376,0.214,0.024
10506,NaN,NaN,NaN
10642,0.393,0.339,0.001
10648,0.393,0.341,0.249
10648,0.393,0.341,0.249
10665,0.391,0.342,0.388
10681,0.389,0.342,0.337
10695,0.389,0.344,0.298
10696,NaN,NaN,NaN
