Time,X,Y,P
1215,0.068,0.794,0.036
1221,0.067,0.793,0.171
1221,0.067,0.793,0.171
1236,0.063,0.789,0.335
1253,0.057,0.784,0.392
1254,0.056,0.782,0.399
1270,0.052,0.773,0.489
1290,0.046,0.76,0.649
1306,0.042,0.747,0.753
1320,0.041,0.739,0.784
1337,0.041,0.729,0.813
1354,0.044,0.726,0.839
1370,0.047,0.728,0.856
1390,0.055,0.74,0.868
1406,0.061,0.753,0.872
1420,0.065,0.766,0.868
1439,0.071,0.787,0.894
1454,0.073,0.796,0.954
1474,0.074,0.801,0.983
1488,0.073,0.796,1
1505,0.071,0.786,1
1520,0.069,0.771,1
1538,0.068,0.751,1
1555,0.068,0.733,0.974
1571,0.071,0.722,0.554
1591,0.076,0.711,0.009
1593,NaN,NaN,NaN
