Time,X,Y,P
14752,0.762,0.342,0.034
14753,0.762,0.341,0.079
14753,0.762,0.341,0.079
14762,0.761,0.341,0.173
14781,0.758,0.34,0.333
14793,0.758,0.341,0.388
14809,0.761,0.342,0.442
14827,0.766,0.346,0.478
14847,0.774,0.348,0.513
14849,0.775,0.348,0.517
14861,0.779,0.349,0.53
14876,0.783,0.348,0.544
14893,0.785,0.344,0.55
14911,0.784,0.336,0.562
14926,0.781,0.329,0.567
14943,0.775,0.316,0.581
14960,0.767,0.301,0.589
14977,0.761,0.287,0.601
14995,0.756,0.279,0.626
15009,0.755,0.276,0.653
15027,0.757,0.276,0.716
15043,0.76,0.279,0.792
15061,0.766,0.284,0.874
15075,0.771,0.286,0.919
15095,0.779,0.291,0.964
15110,0.783,0.293,0.974
15127,0.786,0.295,0.987
15147,0.786,0.295,0.995
15159,0.786,0.295,1
15179,0.785,0.294,0.95
15193,0.784,0.293,0.657
15207,0.785,0.293,0.216
15209,NaN,NaN,NaN
