Time,X,Y,P
5369,0.054,0.809,0.009
5377,0.054,0.812,0.087
5378,0.054,0.812,0.087
5393,0.054,0.815,0.149
5409,0.054,0.82,0.188
5424,0.054,0.824,0.22
5444,0.055,0.826,0.237
5461,0.055,0.825,0.294
5477,0.054,0.821,0.343
5493,0.054,0.809,0.437
5509,0.053,0.793,0.511
5525,0.051,0.769,0.571
5528,0.051,0.766,0.579
5540,0.051,0.751,0.612
5557,0.051,0.736,0.649
5576,0.052,0.726,0.71
5592,0.052,0.727,0.743
5608,0.053,0.734,0.751
5623,0.055,0.751,0.753
5645,0.058,0.772,0.757
5657,0.061,0.785,0.757
5677,0.065,0.801,0.755
5693,0.069,0.806,0.757
5709,0.073,0.804,0.817
5725,0.076,0.794,0.919
5741,0.077,0.779,0.993
5758,0.077,0.759,1
5775,0.076,0.742,0.888
5791,0.076,0.734,0.259
5801,0.077,0.732,0.038
5802,NaN,NaN,NaN
