Time,X,Y,P
11603,0.189,0.339,0.022
11604,0.189,0.339,0.071
11604,0.189,0.339,0.071
11625,0.191,0.336,0.29
11642,0.192,0.335,0.433
11660,0.193,0.333,0.556
11676,0.194,0.333,0.587
11694,0.193,0.331,0.608
11714,0.193,0.326,0.61
11726,0.193,0.32,0.614
11728,0.193,0.319,0.618
11742,0.193,0.308,0.649
11760,0.194,0.294,0.706
11778,0.195,0.284,0.747
11792,0.195,0.278,0.772
11811,0.196,0.272,0.823
11827,0.197,0.271,0.849
11844,0.197,0.271,0.882
11864,0.197,0.272,0.899
11876,0.197,0.273,0.901
11893,0.198,0.278,0.909
11910,0.199,0.284,0.95
11930,0.201,0.291,1
11942,0.201,0.296,1
11960,0.202,0.311,1
11976,0.204,0.326,1
11994,0.208,0.34,1
12012,0.213,0.349,1
12025,0.215,0.353,1
12042,0.217,0.355,0.655
12060,0.219,0.355,0.097
12063,NaN,NaN,NaN
