Time,X,Y,P
6394,0.944,0.811,0.009
6404,0.943,0.811,0.146
6404,0.943,0.811,0.146
6421,0.942,0.812,0.235
6438,0.94,0.812,0.308
6454,0.939,0.809,0.392
6470,0.938,0.804,0.513
6489,0.936,0.794,0.601
6489,0.935,0.792,0.612
6504,0.932,0.779,0.657
6521,0.928,0.764,0.696
6537,0.925,0.745,0.729
6554,0.925,0.733,0.78
6571,0.927,0.725,0.866
6588,0.932,0.724,0.897
6604,0.94,0.725,0.901
6620,0.946,0.728,0.712
6637,0.952,0.735,0.112
6645,0.953,0.739,0.001
6646,NaN,NaN,NaN
6718,0.926,0.766,0.097
6738,0.923,0.766,0.755
6738,0.923,0.766,0.755
6754,0.925,0.771,0.942
6770,0.932,0.774,0.952
6788,0.943,0.775,0.624
6805,0.955,0.775,0.054
6811,0.956,0.775,0.007
6812,NaN,NaN,NaN
