Time,X,Y,P
12920,0.808,0.822,0.013
12932,0.81,0.824,0.255
12932,0.81,0.824,0.255
12942,0.811,0.825,0.388
12958,0.813,0.828,0.573
12976,0.814,0.835,0.757
12993,0.813,0.845,0.872
13009,0.81,0.854,0.915
13027,0.806,0.86,0.927
13042,0.801,0.862,0.938
13059,0.795,0.86,0.97
13075,0.791,0.853,1
13091,0.788,0.842,1
13108,0.787,0.825,1
13126,0.787,0.805,1
13141,0.788,0.787,1
13159,0.791,0.768,1
13177,0.792,0.753,1
13191,0.793,0.746,1
13208,0.794,0.735,1
13226,0.795,0.728,1
13245,0.794,0.724,0.71
13258,0.794,0.724,0.319
13264,0.793,0.725,0.026
13265,NaN,NaN,NaN
13306,0.783,0.753,0.019
13319,0.778,0.764,0.636
13319,0.778,0.764,0.636
13325,0.776,0.767,0.827
13341,0.772,0.773,1
13357,0.769,0.78,1
13375,0.771,0.782,1
13391,0.778,0.782,1
13407,0.785,0.782,1
13426,0.795,0.778,1
13442,0.806,0.773,0.44
13458,0.815,0.771,0.022
13461,NaN,NaN,NaN
