Time,X,Y,P
606579,0.782,0.679,0.046
606579,0.782,0.678,0.204
606579,0.782,0.678,0.204
606601,0.78,0.679,0.737
606623,0.778,0.689,0.937
606644,0.778,0.702,0.966
606647,0.778,0.707,0.966
606667,0.777,0.726,0.964
606687,0.774,0.752,0.964
606707,0.771,0.781,0.976
606731,0.768,0.814,1
606769,0.773,0.849,1
606791,0.78,0.861,1
606810,0.785,0.865,1
606833,0.792,0.866,0.788
606851,0.795,0.864,0.421
606866,0.796,0.859,0.022
606867,NaN,NaN,NaN
607003,0.745,0.769,0.032
607021,0.744,0.762,0.78
607021,0.744,0.762,0.78
607043,0.748,0.76,1
607061,0.757,0.762,1
607081,0.771,0.766,1
607102,0.785,0.768,1
607123,0.796,0.769,0.97
607144,0.804,0.769,0.671
607166,0.812,0.769,0.077
607170,0.813,0.769,0.024
607171,NaN,NaN,NaN
