Time,X,Y,P
36505,0.913,0.858,0.046
36511,0.914,0.86,0.327
36511,0.914,0.86,0.327
36534,0.914,0.865,0.628
36583,0.907,0.871,0.929
36587,0.906,0.871,0.937
36605,0.903,0.866,0.978
36622,0.901,0.86,0.997
36636,0.902,0.855,1
36653,0.905,0.851,1
36672,0.909,0.849,1
36729,0.917,0.861,0.956
36740,0.917,0.864,0.956
36758,0.917,0.865,0.956
36794,0.916,0.858,0.981
36820,0.917,0.844,1
36836,0.917,0.834,1
36852,0.917,0.826,1
36870,0.915,0.816,1
36886,0.913,0.811,1
36903,0.909,0.808,1
36920,0.908,0.812,1
36936,0.907,0.816,1
36953,0.909,0.826,1
36970,0.912,0.832,1
37004,0.918,0.838,0.62
37021,0.92,0.838,0.106
37026,NaN,NaN,NaN
