Time,X,Y,P
28995,0.599,0.208,0.021
28999,0.599,0.207,0.075
29000,0.599,0.207,0.075
29015,0.599,0.205,0.194
29031,0.6,0.206,0.435
29049,0.604,0.215,0.513
29065,0.611,0.232,0.536
29085,0.62,0.255,0.534
29098,0.627,0.276,0.444
29115,0.632,0.296,0.339
29132,0.635,0.313,0.302
29150,0.633,0.32,0.343
29168,0.629,0.312,0.421
29182,0.626,0.298,0.519
29197,0.622,0.264,0.638
29217,0.62,0.227,0.692
29236,0.622,0.201,0.681
29248,0.625,0.189,0.483
29265,0.628,0.184,0.075
29268,0.628,0.182,0.021
29269,NaN,NaN,NaN
