Time,X,Y,P
1767,0.057,0.759,0.017
1776,0.057,0.759,0.202
1776,0.057,0.759,0.202
1805,0.057,0.759,0.534
1828,0.057,0.758,0.646
1841,0.057,0.756,0.708
1859,0.056,0.753,0.823
1876,0.055,0.747,0.896
1892,0.054,0.738,0.942
1902,0.053,0.728,0.972
1908,0.052,0.724,0.981
1925,0.049,0.711,1
1941,0.048,0.701,1
1957,0.047,0.694,1
1975,0.047,0.694,1
1991,0.047,0.701,1
2009,0.049,0.716,1
2023,0.053,0.732,1
2044,0.057,0.747,1
2057,0.06,0.755,1
2074,0.064,0.759,1
2091,0.066,0.755,1
2108,0.067,0.745,1
2125,0.068,0.732,1
2140,0.069,0.714,1
2158,0.069,0.7,1
2175,0.07,0.692,0.813
2192,0.071,0.689,0.247
2203,NaN,NaN,NaN
