Time,X,Y,P
11503,0.613,0.341,0.063
11524,0.611,0.339,0.487
11524,0.611,0.339,0.487
11541,0.61,0.329,0.688
11558,0.609,0.313,0.946
11574,0.611,0.298,1
11592,0.614,0.289,1
11608,0.618,0.285,1
11625,0.625,0.286,1
11642,0.631,0.293,1
11658,0.636,0.304,1
11674,0.639,0.315,1
11690,0.641,0.326,0.978
11707,0.642,0.334,0.968
11724,0.642,0.34,0.995
11741,0.642,0.339,1
11758,0.642,0.332,1
11774,0.642,0.319,1
11791,0.644,0.304,1
11808,0.647,0.279,1
11824,0.651,0.252,1
11842,0.654,0.222,1
11858,0.656,0.198,1
11875,0.657,0.173,1
11892,0.657,0.144,0.911
11909,0.653,0.118,0.849
11925,0.649,0.1,0.819
11941,0.643,0.088,0.806
11957,0.633,0.081,0.815
11974,0.624,0.082,0.825
11992,0.617,0.089,0.835
12007,0.614,0.102,0.823
12024,0.615,0.12,0.671
12042,0.619,0.136,0.464
12058,0.628,0.155,0.034
12061,NaN,NaN,NaN
