Time,X,Y,P
44545,0.489,0.362,0.028
44556,0.488,0.364,0.126
44556,0.488,0.364,0.126
44571,0.488,0.366,0.239
44594,0.488,0.365,0.296
44616,0.488,0.358,0.396
44636,0.488,0.342,0.53
44636,0.488,0.339,0.546
44656,0.487,0.319,0.612
44676,0.486,0.299,0.646
44699,0.484,0.278,0.618
44717,0.483,0.271,0.483
44738,0.483,0.272,0.034
44739,NaN,NaN,NaN
44833,0.499,0.349,0.05
44842,0.5,0.352,0.206
44842,0.5,0.352,0.206
44864,0.501,0.349,0.433
44884,0.499,0.341,0.474
44908,0.495,0.328,0.565
44911,0.494,0.325,0.591
44928,0.492,0.318,0.64
44950,0.488,0.311,0.679
44967,0.488,0.308,0.687
44989,0.491,0.311,0.687
45010,0.495,0.308,0.726
45030,0.501,0.294,0.81
45052,0.505,0.276,0.845
45074,0.509,0.252,0.851
45094,0.512,0.239,0.714
45114,0.514,0.231,0.214
45124,0.515,0.228,0.022
45125,NaN,NaN,NaN
