Time,X,Y,P
17258,0.632,0.745,0.03
17276,0.631,0.741,0.251
17276,0.631,0.741,0.251
17293,0.63,0.736,0.431
17309,0.63,0.731,0.567
17325,0.631,0.729,0.62
17342,0.636,0.736,0.657
17359,0.643,0.752,0.663
17375,0.649,0.767,0.669
17392,0.654,0.785,0.667
17409,0.655,0.794,0.669
17425,0.653,0.793,0.702
17441,0.646,0.784,0.862
17459,0.636,0.761,1
17476,0.627,0.736,1
17492,0.624,0.718,1
17508,0.625,0.706,1
17525,0.631,0.7,1
17542,0.638,0.701,0.907
17558,0.646,0.705,0.378
17576,0.652,0.709,0.003
17577,NaN,NaN,NaN
