Time,X,Y,P
27549,0.769,0.326,0.044
27562,0.768,0.327,0.353
27562,0.768,0.327,0.353
27582,0.768,0.327,0.628
27605,0.766,0.32,0.845
27626,0.764,0.309,0.907
27628,0.763,0.307,0.913
27649,0.763,0.298,0.937
27667,0.764,0.294,0.946
27688,0.77,0.302,0.948
27709,0.778,0.318,0.948
27730,0.785,0.328,0.952
27750,0.788,0.327,0.964
27772,0.787,0.318,0.974
27792,0.786,0.308,0.981
27813,0.786,0.305,0.981
27834,0.792,0.311,1
27854,0.798,0.318,1
27875,0.805,0.32,1
27895,0.808,0.315,0.962
27920,0.812,0.309,0.065
27924,0.812,0.309,0.017
27926,NaN,NaN,NaN
