Time,X,Y,P
4480,0.493,0.832,0.017
4481,0.494,0.833,0.112
4481,0.494,0.833,0.112
4487,0.494,0.834,0.196
4503,0.495,0.84,0.466
4520,0.496,0.844,0.532
4539,0.496,0.851,0.626
4541,0.495,0.853,0.642
4557,0.492,0.86,0.694
4570,0.486,0.867,0.722
4587,0.478,0.867,0.733
4603,0.469,0.858,0.733
4622,0.463,0.84,0.729
4639,0.461,0.822,0.739
4653,0.463,0.812,0.774
4670,0.466,0.811,0.788
4688,0.473,0.82,0.769
4705,0.479,0.835,0.755
4719,0.483,0.848,0.782
4737,0.486,0.858,0.851
4753,0.487,0.862,0.901
4771,0.488,0.859,0.925
4789,0.488,0.848,0.931
4803,0.488,0.836,0.94
4820,0.488,0.816,0.976
4838,0.49,0.793,1
4857,0.491,0.767,1
4869,0.491,0.747,1
4887,0.49,0.718,1
4903,0.49,0.693,1
4920,0.492,0.672,0.981
4938,0.497,0.667,0.946
4953,0.504,0.678,0.962
4969,0.508,0.692,1
4987,0.512,0.718,1
5003,0.511,0.746,1
5021,0.505,0.767,1
5041,0.496,0.776,0.87
5053,0.492,0.776,0.362
5066,0.488,0.774,0.038
5067,NaN,NaN,NaN
