Time,X,Y,P
23611,0.322,0.373,0.011
23618,0.322,0.374,0.06
23618,0.322,0.374,0.06
23642,0.322,0.376,0.319
23660,0.322,0.375,0.546
23679,0.322,0.373,0.755
23705,0.324,0.364,0.972
23724,0.325,0.349,1
23753,0.329,0.329,1
23767,0.331,0.321,1
23787,0.333,0.313,1
23807,0.334,0.312,1
23827,0.336,0.318,1
23849,0.337,0.329,1
23869,0.338,0.347,1
23888,0.339,0.361,1
23910,0.34,0.369,1
23929,0.34,0.371,1
23956,0.341,0.364,1
23973,0.343,0.355,1
23996,0.346,0.34,1
24016,0.349,0.329,1
24036,0.353,0.322,1
24056,0.355,0.321,1
24076,0.357,0.326,1
24097,0.358,0.336,1
24123,0.359,0.359,1
24138,0.36,0.372,1
24162,0.36,0.384,1
24183,0.361,0.387,0.571
24201,NaN,NaN,NaN
