Time,X,Y,P
17419,0.035,0.365,0.028
17428,0.035,0.367,0.157
17428,0.035,0.367,0.157
17448,0.034,0.369,0.296
17461,0.034,0.371,0.36
17480,0.033,0.369,0.386
17495,0.033,0.366,0.413
17514,0.033,0.358,0.456
17532,0.033,0.342,0.515
17533,0.033,0.339,0.524
17545,0.034,0.326,0.56
17561,0.034,0.306,0.622
17579,0.035,0.282,0.729
17596,0.037,0.261,0.853
17610,0.039,0.249,0.917
17627,0.042,0.24,0.978
17644,0.047,0.241,1
17667,0.053,0.254,1
17682,0.057,0.269,1
17694,0.059,0.285,1
17711,0.063,0.307,1
17728,0.065,0.329,1
17746,0.067,0.349,1
17763,0.069,0.361,1
17777,0.069,0.366,1
17794,0.071,0.365,1
17814,0.072,0.354,1
17830,0.073,0.339,1
17848,0.074,0.316,1
17860,0.075,0.3,1
17877,0.078,0.278,1
17895,0.083,0.264,1
17914,0.09,0.262,0.968
17931,0.099,0.28,0.175
17939,0.102,0.291,0.044
17940,NaN,NaN,NaN
