Time,X,Y,P
11162,0.348,0.355,0.03
11180,0.346,0.354,0.235
11180,0.346,0.354,0.235
11201,0.345,0.349,0.292
11217,0.344,0.338,0.36
11230,0.345,0.326,0.392
11246,0.347,0.304,0.444
11263,0.348,0.279,0.491
11285,0.349,0.256,0.522
11296,0.349,0.245,0.54
11313,0.348,0.231,0.603
11334,0.345,0.222,0.722
11351,0.341,0.222,0.778
11366,0.336,0.231,0.821
11383,0.331,0.247,0.835
11400,0.328,0.264,0.837
11417,0.327,0.28,0.821
11433,0.327,0.294,0.46
11449,0.329,0.305,0.022
11452,NaN,NaN,NaN
11583,0.343,0.399,0.065
11598,0.343,0.401,0.499
11598,0.343,0.401,0.499
11615,0.343,0.402,0.714
11630,0.343,0.404,0.817
11647,0.344,0.404,0.882
11663,0.344,0.402,0.729
11681,0.344,0.399,0.042
11686,NaN,NaN,NaN
