Time,X,Y,P
11414,0.929,0.812,0.005
11436,0.93,0.813,0.171
11436,0.93,0.813,0.171
11451,0.931,0.815,0.306
11466,0.932,0.816,0.392
11484,0.933,0.818,0.511
11503,0.934,0.82,0.712
11518,0.934,0.82,0.753
11547,0.934,0.82,0.907
11568,0.931,0.815,0.97
11583,0.929,0.812,1
11604,0.924,0.802,1
11619,0.92,0.794,1
11623,0.919,0.791,1
11635,0.916,0.782,1
11654,0.915,0.772,1
11667,0.915,0.765,1
11685,0.919,0.759,1
11702,0.927,0.754,1
11719,0.936,0.752,1
11737,0.942,0.751,1
11753,0.948,0.749,0.563
11767,0.949,0.749,0.198
11774,0.95,0.751,0.009
11775,NaN,NaN,NaN
12087,0.907,0.798,0.032
12135,0.908,0.798,0.44
12135,0.908,0.798,0.44
12151,0.91,0.798,0.679
12169,0.913,0.795,0.833
12184,0.918,0.793,0.952
12187,0.919,0.792,0.966
12201,0.924,0.789,1
12218,0.931,0.785,0.989
12234,0.934,0.782,0.616
12253,0.936,0.782,0.083
12258,NaN,NaN,NaN
