Time,X,Y,P
15950,0.185,0.345,0.03
15966,0.184,0.345,0.173
15966,0.184,0.345,0.173
15988,0.184,0.346,0.407
16003,0.185,0.346,0.468
16017,0.186,0.347,0.519
16034,0.188,0.348,0.565
16050,0.192,0.351,0.581
16068,0.196,0.353,0.587
16070,0.197,0.353,0.587
16084,0.199,0.354,0.589
16100,0.2,0.352,0.599
16116,0.2,0.345,0.683
16134,0.198,0.331,0.847
16155,0.196,0.312,0.97
16167,0.195,0.298,1
16183,0.195,0.287,1
16199,0.196,0.285,1
16215,0.198,0.285,1
16233,0.202,0.287,1
16249,0.204,0.289,1
16267,0.206,0.294,1
16283,0.207,0.304,0.983
16300,0.209,0.318,0.89
16317,0.212,0.336,0.831
16333,0.214,0.349,0.819
16349,0.215,0.356,0.821
16367,0.213,0.355,0.823
16383,0.212,0.353,0.837
16400,0.211,0.351,0.853
16416,0.212,0.349,0.925
16432,0.215,0.352,0.95
16450,0.221,0.358,0.956
16466,0.225,0.364,0.942
16484,0.23,0.368,0.831
16500,0.231,0.369,0.718
16515,0.231,0.367,0.399
16532,0.229,0.365,0.022
16534,NaN,NaN,NaN
