Time,X,Y,P
1792,0.067,0.804,0.042
1802,0.067,0.805,0.161
1802,0.067,0.805,0.161
1819,0.067,0.808,0.237
1837,0.066,0.815,0.284
1857,0.065,0.821,0.288
1858,0.065,0.822,0.29
1869,0.064,0.825,0.292
1886,0.061,0.829,0.294
1903,0.057,0.832,0.298
1921,0.054,0.832,0.302
1938,0.048,0.828,0.312
1955,0.045,0.821,0.315
1971,0.041,0.811,0.319
1986,0.037,0.794,0.335
2007,0.034,0.774,0.37
2020,0.033,0.758,0.399
2036,0.033,0.744,0.425
2053,0.034,0.732,0.431
2070,0.037,0.722,0.468
2087,0.041,0.719,0.515
2107,0.045,0.722,0.55
2119,0.049,0.728,0.563
2136,0.053,0.741,0.577
2153,0.056,0.76,0.583
2172,0.059,0.779,0.579
2188,0.061,0.796,0.581
2205,0.062,0.808,0.581
2219,0.063,0.815,0.583
2237,0.064,0.82,0.587
2257,0.064,0.816,0.581
2269,0.064,0.811,0.591
2289,0.065,0.795,0.622
2305,0.065,0.779,0.661
2320,0.065,0.764,0.696
2337,0.065,0.748,0.731
2354,0.066,0.732,0.765
2371,0.067,0.72,0.786
2387,0.07,0.711,0.792
2407,0.073,0.707,0.792
2419,0.076,0.708,0.784
2441,0.082,0.72,0.507
2453,0.085,0.729,0.146
2461,0.087,0.735,0.024
2462,NaN,NaN,NaN
