Time,X,Y,P
7140,0.619,0.802,0.038
7145,0.618,0.802,0.087
7145,0.618,0.802,0.087
7161,0.617,0.806,0.278
7178,0.616,0.809,0.405
7194,0.616,0.812,0.448
7211,0.617,0.811,0.46
7229,0.619,0.805,0.501
7249,0.622,0.796,0.546
7261,0.624,0.789,0.575
7278,0.627,0.776,0.599
7280,0.628,0.774,0.601
7295,0.629,0.765,0.61
7313,0.631,0.756,0.628
7333,0.631,0.752,0.651
7345,0.629,0.749,0.683
7361,0.629,0.749,0.716
7379,0.628,0.753,0.731
7399,0.628,0.76,0.737
7411,0.628,0.768,0.741
7428,0.63,0.782,0.741
7445,0.633,0.798,0.741
7462,0.636,0.813,0.741
7483,0.641,0.824,0.747
7495,0.644,0.828,0.745
7512,0.645,0.829,0.747
7529,0.646,0.831,0.749
7547,0.646,0.829,0.747
7563,0.646,0.829,0.624
7579,0.647,0.828,0.284
7592,NaN,NaN,NaN
