Time,X,Y,P
15836,0.482,0.362,0.003
15854,0.481,0.365,0.157
15854,0.481,0.365,0.157
15871,0.482,0.366,0.388
15888,0.483,0.364,0.528
15904,0.486,0.354,0.833
15920,0.493,0.338,1
15937,0.501,0.316,1
15954,0.507,0.3,1
15970,0.511,0.288,1
15988,0.513,0.284,1
16004,0.513,0.284,1
16020,0.512,0.287,0.687
16038,0.511,0.296,0.155
16046,0.51,0.3,0.038
16047,NaN,NaN,NaN
16128,0.508,0.367,0.036
16137,0.508,0.371,0.265
16137,0.508,0.371,0.265
16155,0.508,0.373,0.427
16172,0.507,0.371,0.815
16188,0.504,0.36,0.96
16205,0.499,0.341,1
16221,0.491,0.314,1
16237,0.483,0.293,1
16254,0.476,0.273,1
16270,0.473,0.266,0.647
16287,0.474,0.268,0.095
16290,0.474,0.269,0.038
16291,NaN,NaN,NaN
