Time,X,Y,P
10624,0.332,0.327,0.019
10645,0.331,0.332,0.169
10645,0.331,0.332,0.169
10660,0.329,0.338,0.313
10674,0.329,0.342,0.425
10694,0.328,0.346,0.532
10709,0.329,0.344,0.657
10727,0.329,0.335,0.757
10743,0.331,0.325,0.798
10761,0.332,0.311,0.829
10776,0.333,0.302,0.839
10792,0.336,0.295,0.851
10809,0.339,0.294,0.858
10829,0.343,0.3,0.866
10842,0.345,0.306,0.868
10859,0.348,0.316,0.866
10875,0.349,0.322,0.862
10891,0.349,0.321,0.876
10911,0.348,0.313,0.888
10925,0.348,0.307,0.894
10942,0.35,0.298,0.897
10958,0.353,0.292,0.911
10975,0.356,0.289,0.915
10991,0.36,0.288,0.915
11009,0.364,0.292,0.921
11025,0.367,0.301,0.927
11042,0.369,0.313,0.929
11059,0.368,0.329,0.923
11077,0.367,0.344,0.858
11093,0.365,0.352,0.294
11109,0.365,0.352,0.013
11110,NaN,NaN,NaN
