Time,X,Y,P
5070,0.344,0.745,0.028
5092,0.345,0.747,0.831
5092,0.345,0.747,0.831
5108,0.345,0.745,1
5133,0.347,0.731,1
5151,0.349,0.713,1
5173,0.351,0.692,0.956
5191,0.351,0.678,0.954
5213,0.35,0.674,0.974
5235,0.349,0.681,0.991
5255,0.348,0.696,0.995
5278,0.348,0.724,1
5299,0.35,0.749,1
5319,0.354,0.771,1
5340,0.361,0.794,1
5361,0.366,0.804,1
5380,0.372,0.802,0.985
5401,0.372,0.792,0.978
5422,0.366,0.775,1
5443,0.356,0.759,1
5464,0.346,0.746,1
5484,0.338,0.738,1
5505,0.335,0.734,0.319
5517,0.334,0.733,0.071
5519,NaN,NaN,NaN
