Time,X,Y,P
981849,0.632,0.236,0.042
981863,0.632,0.235,0.165
981863,0.632,0.235,0.165
981879,0.631,0.233,0.284
981896,0.632,0.232,0.438
981913,0.633,0.232,0.577
981928,0.634,0.233,0.683
981947,0.636,0.239,0.808
981962,0.641,0.251,0.854
981979,0.646,0.269,0.884
981996,0.654,0.301,0.909
982013,0.659,0.332,0.946
982030,0.663,0.36,1
982045,0.663,0.372,1
982062,0.658,0.365,1
982079,0.654,0.346,1
982095,0.65,0.311,1
982113,0.65,0.274,1
982130,0.654,0.247,1
982145,0.658,0.238,1
982163,0.663,0.235,1
982179,0.667,0.244,0.427
982195,0.668,0.255,0.022
982197,NaN,NaN,NaN
