Time,X,Y,P
4713,0.774,0.784,0.021
4726,0.775,0.784,0.188
4726,0.775,0.784,0.188
4744,0.776,0.784,0.269
4766,0.776,0.782,0.435
4778,0.775,0.782,0.554
4793,0.774,0.78,0.69
4809,0.771,0.776,0.817
4827,0.767,0.773,0.896
4828,0.766,0.772,0.909
4844,0.765,0.769,0.964
4859,0.766,0.766,1
4877,0.771,0.76,1
4893,0.776,0.756,1
4911,0.781,0.751,1
4926,0.782,0.746,1
4943,0.779,0.741,1
4961,0.774,0.738,1
4976,0.769,0.738,1
4993,0.765,0.74,1
5011,0.765,0.744,0.575
5028,0.771,0.746,0.065
5030,0.773,0.747,0.017
5031,NaN,NaN,NaN
