Time,X,Y,P
4689,0.51,0.781,0.009
4701,0.509,0.781,0.36
4701,0.509,0.781,0.36
4718,0.508,0.781,0.583
4741,0.505,0.782,0.665
4761,0.502,0.784,0.681
4783,0.495,0.785,0.8
4803,0.487,0.784,0.989
4822,0.48,0.779,1
4844,0.474,0.767,1
4869,0.474,0.749,1
4885,0.477,0.741,1
4910,0.485,0.738,1
4927,0.492,0.744,1
4949,0.498,0.758,1
4969,0.504,0.775,1
4993,0.508,0.802,1
5013,0.508,0.821,1
5033,0.506,0.828,1
5052,0.503,0.821,1
5073,0.502,0.799,1
5094,0.504,0.769,1
5117,0.51,0.739,1
5137,0.516,0.726,1
5157,0.526,0.721,0.171
5167,0.528,0.722,0.044
5169,NaN,NaN,NaN
