Time,X,Y,P
4479,0.619,0.78,0.034
4487,0.619,0.779,0.134
4487,0.619,0.779,0.134
4501,0.621,0.774,0.278
4520,0.624,0.771,0.31
4537,0.627,0.768,0.321
4538,0.628,0.767,0.323
4551,0.632,0.767,0.329
4568,0.637,0.769,0.343
4585,0.644,0.775,0.366
4606,0.649,0.786,0.374
4623,0.651,0.794,0.388
4635,0.651,0.8,0.394
4652,0.646,0.805,0.401
4669,0.639,0.802,0.417
4689,0.632,0.794,0.44
4702,0.627,0.784,0.468
4718,0.625,0.774,0.55
4735,0.627,0.762,0.698
4755,0.633,0.753,0.784
4767,0.639,0.748,0.802
4785,0.65,0.745,0.638
4801,0.66,0.747,0.101
4806,0.662,0.749,0.044
4808,NaN,NaN,NaN
