Time,X,Y,P
1405,0.016,0.876,0.058
1424,0.018,0.876,0.563
1424,0.018,0.876,0.563
1437,0.019,0.875,0.728
1453,0.022,0.871,0.976
1470,0.024,0.856,1
1472,0.024,0.853,1
1487,0.026,0.831,1
1504,0.027,0.807,1
1523,0.029,0.784,0.966
1539,0.029,0.778,0.876
1555,0.031,0.778,0.794
1572,0.032,0.787,0.772
1591,0.033,0.804,0.812
1604,0.034,0.815,0.858
1622,0.036,0.834,0.901
1638,0.038,0.853,0.958
1654,0.042,0.866,1
1673,0.048,0.869,1
1691,0.055,0.858,1
1704,0.061,0.84,1
1721,0.068,0.808,1
1737,0.075,0.786,0.479
1754,0.081,0.78,0.022
1755,NaN,NaN,NaN
