Time,X,Y,P
14063,0.055,0.438,0.044
14087,0.054,0.435,0.265
14087,0.054,0.435,0.265
14113,0.053,0.431,0.345
14130,0.053,0.424,0.358
14153,0.052,0.407,0.372
14172,0.05,0.388,0.368
14194,0.046,0.362,0.372
14216,0.042,0.334,0.448
14236,0.038,0.307,0.495
14256,0.037,0.285,0.509
14278,0.038,0.274,0.515
14298,0.04,0.275,0.511
14317,0.044,0.285,0.503
14340,0.054,0.312,0.505
14361,0.062,0.335,0.54
14381,0.067,0.348,0.552
14400,0.07,0.348,0.558
14421,0.073,0.338,0.562
14442,0.074,0.327,0.565
14464,0.073,0.308,0.606
14484,0.071,0.294,0.712
14507,0.069,0.281,0.755
14528,0.073,0.278,0.216
14539,0.077,0.28,0.019
14540,NaN,NaN,NaN
