Time,X,Y,P
13913,0.219,0.331,0.003
13928,0.218,0.331,0.218
13928,0.218,0.331,0.218
13948,0.218,0.332,0.448
13964,0.218,0.331,0.597
13978,0.218,0.329,0.774
13988,0.218,0.328,0.884
14003,0.218,0.324,1
14021,0.218,0.315,1
14037,0.219,0.306,1
14053,0.219,0.296,1
14071,0.22,0.287,1
14087,0.221,0.282,1
14103,0.221,0.279,1
14121,0.221,0.278,1
14137,0.221,0.28,0.583
14153,0.221,0.285,0.062
14156,0.221,0.287,0.009
14157,NaN,NaN,NaN
14257,0.22,0.362,0.083
14270,0.218,0.364,0.329
14270,0.218,0.364,0.329
14286,0.216,0.366,0.642
14304,0.217,0.366,0.714
14320,0.218,0.365,0.741
14337,0.22,0.362,0.509
14354,0.221,0.36,0.003
14359,NaN,NaN,NaN
