Time,X,Y,P
10872,0.353,0.334,0.032
10873,0.353,0.335,0.073
10873,0.353,0.335,0.073
10901,0.352,0.34,0.286
10917,0.35,0.341,0.356
10929,0.349,0.339,0.403
10946,0.349,0.332,0.489
10963,0.349,0.318,0.558
10966,0.35,0.314,0.565
10981,0.352,0.298,0.597
10995,0.353,0.284,0.606
11013,0.355,0.261,0.614
11029,0.355,0.242,0.618
11047,0.354,0.227,0.616
11064,0.352,0.218,0.62
11081,0.348,0.215,0.624
11096,0.345,0.22,0.628
11113,0.343,0.231,0.63
11133,0.342,0.245,0.63
11145,0.342,0.254,0.628
11163,0.345,0.268,0.626
11179,0.349,0.28,0.624
11197,0.356,0.291,0.626
11214,0.361,0.296,0.628
11231,0.363,0.3,0.624
11246,0.365,0.3,0.528
11268,NaN,NaN,NaN
11481,0.353,0.384,0.021
11481,0.352,0.382,0.056
11481,0.352,0.382,0.056
11495,0.351,0.381,0.161
11513,0.349,0.379,0.222
11532,0.348,0.376,0.259
11545,0.347,0.375,0.282
11563,0.348,0.374,0.308
11579,0.349,0.375,0.343
11597,0.35,0.376,0.356
11617,0.351,0.38,0.372
11630,0.35,0.381,0.396
11645,0.349,0.382,0.399
11647,0.349,0.382,0.401
11663,0.348,0.382,0.401
11679,0.348,0.38,0.333
11694,0.348,0.379,0.067
11695,NaN,NaN,NaN
