Time,X,Y,P
12310,0.797,0.835,0.032
12319,0.798,0.838,0.157
12319,0.798,0.838,0.157
12336,0.799,0.841,0.245
12353,0.798,0.845,0.343
12370,0.797,0.848,0.431
12387,0.795,0.851,0.485
12403,0.792,0.852,0.513
12405,0.792,0.852,0.517
12420,0.788,0.851,0.53
12436,0.784,0.846,0.536
12455,0.779,0.839,0.538
12472,0.776,0.829,0.544
12487,0.775,0.824,0.55
12504,0.775,0.815,0.558
12522,0.776,0.811,0.581
12539,0.779,0.809,0.612
12555,0.784,0.809,0.653
12572,0.791,0.808,0.685
12588,0.794,0.807,0.696
12607,0.798,0.802,0.722
12622,0.799,0.798,0.739
12639,0.799,0.793,0.761
12656,0.798,0.788,0.774
12670,0.796,0.785,0.792
12687,0.792,0.781,0.8
12705,0.786,0.778,0.804
12739,0.774,0.776,0.808
12776,0.764,0.784,0.235
12786,0.764,0.786,0.036
12788,NaN,NaN,NaN
