Time,X,Y,P
33103,0.204,0.293,0.081
33147,0.205,0.296,0.546
33147,0.205,0.296,0.546
33163,0.205,0.298,0.56
33178,0.206,0.3,0.569
33196,0.208,0.302,0.614
33214,0.211,0.302,0.704
33219,0.212,0.302,0.741
33230,0.214,0.3,0.812
33246,0.217,0.294,0.921
33262,0.22,0.28,1
33280,0.223,0.259,1
33295,0.225,0.238,1
33312,0.226,0.216,1
33328,0.226,0.196,1
33345,0.226,0.181,1
33363,0.227,0.171,1
33378,0.228,0.166,1
33395,0.231,0.161,1
33412,0.237,0.161,1
33428,0.242,0.165,1
33446,0.249,0.174,1
33462,0.253,0.186,1
33478,0.256,0.208,1
33496,0.255,0.235,1
33512,0.253,0.259,1
33530,0.25,0.281,1
33544,0.248,0.293,1
33562,0.247,0.306,1
33578,0.247,0.314,1
33596,0.251,0.318,1
33616,0.258,0.319,1
33628,0.264,0.318,1
33644,0.274,0.316,1
33662,0.283,0.314,1
33680,0.289,0.312,0.229
33690,0.291,0.311,0.022
33691,NaN,NaN,NaN
